filename,person_id,Male,Young,Black_Hair,Blond_Hair,Brown_Hair,Smiling,Eyeglasses,Heavy_Makeup,image_count
042593.jpg,3340,0,1,0,0,0,1,0,0,29
161017.jpg,6023,0,1,0,1,0,0,0,1,30
171871.jpg,2180,1,0,0,0,0,0,0,0,30
168317.jpg,1582,0,0,0,0,1,0,0,1,30
097832.jpg,1359,0,1,0,1,0,1,0,1,30
170733.jpg,2726,1,1,1,0,0,1,0,0,28
025839.jpg,2887,0,1,0,0,0,0,0,1,30
033836.jpg,7314,0,1,0,0,1,0,0,0,28
110576.jpg,1821,0,1,1,0,0,0,0,0,29
048271.jpg,9902,1,1,0,0,0,0,0,0,30
063692.jpg,4664,0,1,0,0,0,1,0,0,30
124212.jpg,2225,1,1,1,0,0,1,0,0,30
059083.jpg,5375,0,1,1,0,0,0,0,1,30
031226.jpg,5243,0,0,0,0,0,1,0,0,30
201235.jpg,8715,0,1,1,0,0,1,0,1,30
080970.jpg,303,0,1,1,0,0,1,0,1,30
184757.jpg,6090,1,1,1,0,0,0,0,0,30
077023.jpg,8519,0,1,0,1,0,1,0,1,30
017481.jpg,4126,0,1,1,0,0,0,0,1,31
143324.jpg,160,1,1,0,0,1,1,0,0,30
084818.jpg,5140,0,0,0,1,0,1,0,1,30
104641.jpg,10159,0,1,0,0,1,0,0,0,30
044244.jpg,1991,0,1,0,0,0,1,0,1,30
044016.jpg,2193,0,1,0,0,0,1,0,1,30
083313.jpg,1128,0,1,1,0,1,1,0,1,30
120845.jpg,10117,1,1,0,0,0,0,0,0,30
035412.jpg,4511,1,0,1,0,0,1,0,0,30
149494.jpg,5146,0,1,1,0,0,1,0,1,30
049687.jpg,10160,0,1,0,1,0,1,0,0,30
069551.jpg,4421,1,1,1,0,0,0,1,0,30
165175.jpg,1675,1,1,0,0,0,0,0,0,30
056933.jpg,8663,0,1,1,0,0,0,0,0,30
122027.jpg,3431,0,1,0,0,0,1,0,1,30
130102.jpg,8054,1,1,1,0,0,0,0,0,28
030834.jpg,991,0,1,0,0,1,1,0,0,30
191454.jpg,8945,0,1,0,0,0,1,0,1,30
150177.jpg,6633,0,1,0,0,1,0,0,0,30
164469.jpg,3826,1,1,0,0,0,0,0,0,30
087338.jpg,1874,1,1,0,0,0,0,0,0,30
051804.jpg,8482,0,1,0,0,0,0,0,0,30
001054.jpg,8947,0,1,1,0,0,0,0,0,30
164696.jpg,851,1,1,0,0,1,0,0,0,29
078777.jpg,5485,1,1,1,0,0,0,1,0,30
005296.jpg,3730,1,1,1,0,0,0,0,0,30
079107.jpg,8290,0,1,0,0,0,0,0,1,29
083924.jpg,8515,0,1,0,1,0,1,0,1,30
013457.jpg,6290,0,1,0,0,1,1,0,1,30
192300.jpg,10157,1,1,0,0,0,0,0,0,30
191828.jpg,7362,0,1,0,0,1,0,0,1,30
198680.jpg,5061,0,1,1,0,0,0,0,0,30
078959.jpg,3641,1,1,0,0,1,1,0,0,30
091886.jpg,4944,1,1,1,0,0,0,0,0,30
034080.jpg,2242,0,1,0,0,0,1,0,1,30
075295.jpg,1646,0,0,0,0,1,0,0,0,30
066004.jpg,5041,0,1,1,0,0,0,0,0,30
181955.jpg,851,1,1,0,0,1,1,0,0,29
135346.jpg,2295,1,0,1,0,0,0,0,0,30
061014.jpg,2996,1,0,0,0,0,0,0,0,30
015627.jpg,9277,0,1,1,0,0,0,0,0,30
138403.jpg,5415,0,1,0,0,1,1,0,1,30
004188.jpg,9084,1,1,1,0,0,0,0,0,30
063076.jpg,8943,0,1,1,0,0,1,0,1,30
066086.jpg,4782,1,1,0,0,0,1,1,0,30
069449.jpg,2910,0,1,0,0,1,1,0,1,30
168351.jpg,2523,1,1,0,0,0,0,0,0,30
151282.jpg,4421,1,1,1,0,0,0,1,0,30
116952.jpg,5207,1,1,0,0,0,0,0,0,30
019976.jpg,3247,1,1,1,0,0,0,0,0,29
144025.jpg,8457,0,1,0,0,0,0,1,0,30
018884.jpg,7422,1,1,0,0,0,0,0,0,30
112252.jpg,861,0,1,0,0,1,0,0,1,30
133876.jpg,1993,0,1,0,0,0,0,0,1,30
116102.jpg,8471,1,0,0,0,0,0,0,0,30
069777.jpg,206,0,1,0,1,0,0,0,1,29
131220.jpg,5416,0,1,0,1,0,1,0,1,30
164106.jpg,2888,0,0,0,1,0,1,0,1,29
002440.jpg,1646,0,0,1,0,0,1,0,1,30
165557.jpg,2393,1,0,0,0,0,0,0,0,30
163517.jpg,1664,0,1,0,0,0,1,0,0,30
070754.jpg,7070,0,1,0,0,1,1,0,1,30
098841.jpg,8515,0,1,0,1,0,1,0,1,30
103626.jpg,5369,0,1,0,1,0,1,0,1,30
036321.jpg,5416,0,1,0,1,0,1,0,1,30
159470.jpg,2814,1,1,1,0,0,0,1,0,29
025598.jpg,8563,1,1,1,0,0,0,0,0,30
108203.jpg,6438,1,1,1,0,0,0,0,0,30
051344.jpg,4821,1,0,0,0,0,0,1,0,30
128578.jpg,4126,0,1,1,0,0,0,0,0,31
160049.jpg,5732,0,1,0,0,1,0,0,1,30
162078.jpg,5474,0,1,0,0,0,0,0,1,30
146111.jpg,6112,0,1,0,0,0,1,0,0,30
105224.jpg,6002,0,1,0,0,0,0,0,1,30
152057.jpg,8155,1,1,0,0,0,0,0,0,29
155274.jpg,4496,1,1,0,0,1,0,0,0,30
139436.jpg,7427,0,1,0,1,0,1,0,0,30
123601.jpg,7046,1,0,1,0,0,0,0,0,28
058935.jpg,1589,0,1,0,0,1,0,0,1,30
119332.jpg,5415,0,1,1,0,0,1,0,1,30
074151.jpg,2318,1,0,0,0,0,0,0,0,30
035318.jpg,1761,0,1,0,1,0,0,0,1,30
014565.jpg,992,0,1,0,1,0,1,0,1,30
037208.jpg,9084,1,1,0,0,0,1,0,0,30
125111.jpg,6023,0,0,0,1,0,1,0,1,30
028600.jpg,8943,0,1,1,0,0,0,0,1,30
014363.jpg,6989,0,0,0,0,0,1,0,0,30
173510.jpg,1151,0,1,0,0,1,0,0,0,30
190208.jpg,7607,1,1,0,0,0,0,0,0,30
171475.jpg,3559,0,1,0,0,1,1,0,1,29
137447.jpg,8894,0,1,0,1,0,0,0,1,29
088963.jpg,6633,0,1,0,0,1,0,0,1,30
025343.jpg,7265,1,0,1,0,0,0,0,0,30
161502.jpg,8798,0,1,0,0,0,1,0,1,30
070200.jpg,1471,1,1,0,0,1,1,0,0,30
059249.jpg,2295,1,0,0,0,0,0,0,0,30
034382.jpg,6002,0,1,0,0,0,0,0,0,30
023214.jpg,1821,0,1,1,0,0,0,0,0,29
003092.jpg,6151,0,1,1,0,0,1,0,1,30
082131.jpg,2844,0,1,0,0,1,0,0,0,30
094121.jpg,1454,0,1,0,1,0,0,0,0,30
016573.jpg,6851,0,1,0,1,0,0,0,1,30
160774.jpg,8054,1,0,1,0,0,0,0,0,28
175902.jpg,1675,1,1,1,0,0,0,0,0,30
109696.jpg,8798,0,1,0,0,0,0,0,1,30
070785.jpg,7651,0,1,0,0,1,1,0,0,30
019195.jpg,4884,0,1,0,1,0,1,0,1,30
019712.jpg,8676,1,0,0,0,0,1,0,0,30
126754.jpg,7651,0,1,0,0,0,1,0,0,30
080867.jpg,9758,0,1,1,0,0,1,0,1,30
130530.jpg,3214,0,0,0,1,0,1,0,1,30
158951.jpg,1993,0,1,0,0,1,0,0,0,30
111874.jpg,3356,0,0,0,0,0,1,0,0,30
015484.jpg,8887,0,1,0,0,1,0,0,0,30
023139.jpg,5407,1,1,0,1,0,0,0,0,30
025660.jpg,7070,0,1,0,0,0,0,0,1,30
164087.jpg,4139,1,0,0,0,0,0,0,0,30
110958.jpg,9001,1,1,1,0,0,0,0,0,30
085915.jpg,1743,1,1,0,0,0,0,0,0,30
132917.jpg,1993,0,1,0,0,1,0,0,1,30
037958.jpg,565,0,1,1,0,0,0,0,0,30
019754.jpg,4435,0,1,1,0,0,1,0,1,30
145718.jpg,7641,0,1,0,0,0,0,0,0,30
036589.jpg,10175,0,1,0,0,0,0,0,1,30
104153.jpg,3056,0,1,0,0,0,1,1,0,30
115196.jpg,2078,0,0,0,1,0,0,0,0,30
103882.jpg,7314,0,1,0,0,0,0,0,1,28
112003.jpg,1218,1,1,1,0,0,0,0,0,30
067013.jpg,1646,0,0,0,0,1,1,0,1,30
202311.jpg,8945,0,1,1,0,0,0,0,1,30
135007.jpg,4355,1,0,0,0,0,0,0,0,30
186207.jpg,5159,0,1,0,1,0,1,0,0,30
068640.jpg,5452,0,1,0,1,0,0,0,1,30
060271.jpg,1986,1,0,0,0,0,1,1,0,30
025791.jpg,2193,0,0,1,0,0,0,0,0,30
075271.jpg,5342,1,1,1,0,0,0,0,0,30
055315.jpg,5018,0,0,0,1,0,1,0,1,30
060634.jpg,2451,0,1,0,0,1,0,0,0,30
000381.jpg,6023,0,0,0,0,0,1,0,1,30
171387.jpg,1151,0,1,0,1,0,1,0,0,30
